Rater1,Rater2,Rater3
solution - other,-,solution conditions - environment
solution conditions - environment,solution - other,solution conditions - environment
technical explanations and discussion,solution - suggest programming language,solution conditions - version
solution conditions - environment,solution conditions - environment,solution conditions - environment
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
solution - other,other,clarify question/answer details
solution - other,other,clarify question/answer details
solution - other,other,clarify question/answer details
solution - other,other,solution - other
technical explanations and discussion,other,solution - other
NA,NA,NA
NA,NA,NA
technical explanations and discussion,technical explanations and discussion,clarify question/answer details
clarify question/answer details,technical explanations and discussion,clarify question/answer details
clarify question/answer details,technical explanations and discussion,clarify question/answer details
clarify question/answer details,clarify question/answer details,other
clarify question/answer details,other,other
clarify question/answer details,other,clarify question/answer details
clarify question/answer details,other,clarify question/answer details
solution - other,technical explanations and discussion,technical explanations and discussion
technical explanations and discussion,technical explanations and discussion,technical explanations and discussion
NA,NA,NA
technical explanations and discussion,other,technical explanations and discussion
NA,NA,NA
technical explanations and discussion,other,technical explanations and discussion
technical explanations and discussion,technical explanations and discussion,technical explanations and discussion
NA,NA,NA
NA,NA,NA
solution - other,other,clarify question/answer details
technical explanations and discussion,solution - suggest api/library/framework,clarify question/answer details
NA,NA,NA
